#submitted_id	updated_id	status
FBgn0000536	FBgn0000536	current
FBgn0003159	FBgn0003159	current
FBgn0000075	FBgn0000075	current
FBgn0000163	FBgn0000163	current
FBgn0000056	FBgn0000056	current
FBgn0000409	FBgn0284248	current
FBgn0002561	FBgn0002561	current
FBgn0002440	FBgn0002440	current
FBgn0001137	FBgn0001137	current
FBgn0000283	FBgn0000283	current
FBgn0000017	FBgn0000017	current
FBgn0002924	FBgn0002924	current
FBgn0002632	FBgn0002632	current
FBgn0000303	FBgn0000303	current
FBgn0002542	FBgn0002542	current
FBgn0000581	FBgn0000581	current
FBgn0002723	FBgn0002723	current
FBgn0001942	FBgn0001942	current
FBgn0000413	FBgn0267821	current
FBgn0000520	FBgn0000520	current
FBgn0001150	FBgn0001150	current
FBgn0002989	FBgn0002989	current
FBgn0000462	FBgn0260632	current
FBgn0001987	FBgn0001987	current
FBgn0000448	FBgn0000448	current
FBgn0000261	FBgn0000261	current
FBgn0000244	FBgn0000244	current
FBgn0000028	FBgn0000028	current
FBgn0003071	FBgn0003071	current
FBgn0000570	FBgn0260400	current
FBgn0000392	FBgn0000392	current
FBgn0000147	FBgn0000147	current
FBgn0003151	FBgn0250843	current
FBgn0001089	FBgn0001089	current
FBgn0000405	FBgn0000405	current
FBgn0000083	FBgn0000083	current
FBgn0000247	FBgn0000247	current
FBgn0000036	FBgn0000036	current
FBgn0003174	FBgn0003174	current
FBgn0000210	FBgn0283451	current
FBgn0001269	FBgn0001269	current
FBgn0000644	FBgn0000644	current
FBgn0003044	FBgn0003044	current
FBgn0001098	FBgn0001098	current
FBgn0001114	FBgn0001114	current
FBgn0001961	FBgn0001961	current
FBgn0000256	FBgn0000256	current
FBgn0000108	FBgn0000108	current
FBgn0002778	FBgn0002778	current
FBgn0000299	FBgn0000299	current
FBgn0003048	FBgn0003048	current
FBgn0000615	FBgn0000615	current
FBgn0001989	FBgn0001989	current
FBgn0000274	FBgn0000274	current
FBgn0000709	FBgn0000709	current
FBgn0000279	FBgn0000279	current
FBgn0002413	FBgn0002413	current
FBgn0000639	FBgn0000639	current
FBgn0001079	FBgn0001079	current
FBgn0002789	FBgn0002789	current
FBgn0000340	FBgn0259212	current
FBgn0000339	FBgn0000339	current
FBgn0002777	FBgn0259168	current
